Unit,Min,Sec,Skip,Time,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1149,10.3,,0,32.8,32.68,31.05,28,26.81,26.25,26.29,25.75,25.4,25.16,25.04,30.87,31.87,31.11,28.1,27.17,26.45,26.57,25.93,25.66,25.44,25.42,31.61,31.67,31.55,28.7,26.83,26.33,25.44,25.22,25.08,24.96,24.74,22.76,22.8,22.88,22.88,22.9,22.96,23.04,23.16,23.41,23.71,23.91,23.99,-0.072,-0.1,-0.025,-0.055,-0.002,-0.016,-0.065,-0.029,-0.079,-0.061,-0.015,-0.02
116,1149,14.3,,4,34.58,34.04,32.51,28.66,27.35,26.43,26.65,25.92,25.54,25.3,25.2,32.93,34.62,32.87,29.42,27.62,27.05,26.89,26.29,25.72,25.64,25.48,31.79,31.67,31.47,28.5,26.77,26.29,25.48,25.24,25.06,24.98,24.67,23.04,23.99,24.49,25.66,25.64,26.15,26.29,27.49,32.45,44.7,63.08,124.6,7.77,5.818,4.081,1.965,0.952,0.947,7.27,5.84,3.344,1.807,1.029,0.774
116,1149,18.3,,8,52.72,48.52,43.19,35.82,35.68,28.06,33.72,30.49,29.42,29.85,31.21,45.04,47.78,44.74,45.48,32.71,38.67,32.57,35.38,29,33.42,28.46,31.73,31.71,31.41,28.44,26.71,26.25,25.64,25.2,24.96,25,24.72,24.84,25.3,25.84,25.44,26.53,28.12,32.41,34.7,45.9,82.8,112.2,265,11.44,7.76,6.078,3.163,2.491,2.094,7.4,5.623,3.453,2.23,2.09,1.906
116,1149,22.3,,12,71.2,62.84,55.8,42.38,41.2,30.65,42.2,35.14,32.23,32.03,35.28,55.74,57.07,49.07,45.04,34.72,39.15,34.22,37.3,30.75,35.5,30.21,30.91,31.75,31.39,28.58,26.73,26.21,25.8,25.2,25,24.92,24.64,29.12,31.25,32.09,32.56,35.36,41.62,46.57,49.07,71,110,159.6,324.7,14.47,11.86,8.44,3.423,2.143,1.392,8.31,6.599,4.445,2.633,2.202,2.382
116,1149,26.3,,16,82.5,74.2,65.7,43.95,42.64,32.58,44.65,35.9,33.16,33.12,37.6,60.93,63.46,53.35,47.09,36.04,39.83,34.92,37.82,31.19,36.18,30.79,31.43,31.67,31.35,28.58,26.73,26.21,25.83,25.24,25.04,24.92,24.66,33.6,36.58,38.69,40.03,41.4,48.52,57.05,58.68,82.3,136,198.5,372.5,8.81,7.02,4.706,2.597,1.821,1.439,6.33,5.5,4.189,2.4,1.412,0.889
116,1149,30.3,,20,85.3,77.8,66.19,45.14,41.44,33.07,39.53,35.48,33.69,34.1,38.13,63.14,64.04,53.35,46.07,36.37,36.47,33.11,34.22,30.55,34.38,30.63,31.91,31.71,31.29,28.58,26.73,26.15,25.8,25.28,25,24.92,24.63,36.23,40.15,42.56,44.47,47.54,59.47,71.9,75.7,98.4,161.1,206.7,363.6,9.08,8.03,5.981,3.507,2.044,1.545,7.05,6.248,4.705,3.387,1.828,1.137
116,1149,34.3,,24,90.1,84,72,47.9,43.95,35.08,47.73,38.14,35.32,35.86,40.73,66.2,67.34,56.02,48.14,37.44,37.52,35.16,38.42,32.44,38.38,32.66,31.5,31.88,31.29,28.56,26.73,26.21,25.71,25.18,24.98,24.88,24.76,39.75,45.3,49.05,51.19,55.57,71.2,85.9,92.1,113.2,182.4,232.7,354.2,9.28,8.9,6.537,3.834,3.001,2.363,7.09,7.28,6.436,4.225,2.169,1.254
116,1149,38.3,,28,95.8,91.3,79.5,52.7,47.19,36.54,46.06,39.53,36.32,36.3,39.77,69.8,72.1,59.93,51.59,39.59,40.97,37.48,41.23,33.46,39.13,33.2,31.31,31.67,31.21,28.58,26.69,26.17,25.6,25.18,24.92,24.8,24.66,40.93,45.6,51.02,52.94,57.26,69.05,83.7,98.1,129.6,196.7,245,350,11.63,11.91,9.4,6.336,4.051,2.687,7.87,6.892,5.455,3.945,2.55,1.531
116,1149,42.3,,32,101.7,97.9,85.9,56.71,50.64,38.03,48.46,40.57,37.92,37.22,41.42,74.2,76.6,63.55,54.06,41.28,42.08,38.29,43.41,34.18,40.59,34.08,31.41,31.41,31.15,28.58,26.67,26.13,25.56,25.16,24.92,24.84,24.62,42.98,47.96,56.2,60.56,66.41,83.3,99.9,112.8,146.7,223.8,277.6,392.4,10.31,9.1,7.45,4.665,3.663,2.258,8.94,7.88,5.791,3.633,2.335,1.554
116,1149,46.3,,36,110.9,105.6,92.5,60.58,55.33,39.43,52.44,44.05,40.75,40.81,46.18,79.3,82,67.87,58.19,43.3,44.59,39.59,43.14,35.48,41.43,35,31.07,31.15,30.99,28.48,26.63,26.13,25.69,25.12,24.96,24.84,24.68,46,51.65,58.73,60.58,68.3,85.7,105.1,123.8,173.5,246.2,321,465,13.44,11.38,7,4.252,3.109,2.205,8.32,7.13,6.398,4.943,3.013,2.087
